"name","type","borough","address","city","zip","lat","lon","license_no"
"BM BEAUTY SALON CORP.","salon","Bronx","1364 Edward L Grant Hwy","Bronx","10452","40.84102","-73.92187","AEB-24-03007"
"BOMBA VIP CORP.","barber","Bronx","2306 Grand Concourse","Bronx","10458","40.85767","-73.89961","BSO-25-00484"
"BONGO NAIL LOUNGE LLC","salon","Bronx","5806 Mosholu Ave","Bronx","10471","40.90505","-73.89708","AEB-24-00690"
"BONITA NAIL AND HAIR SALON CORP","salon","Bronx","801B Soundview Ave","Bronx","10473","40.8213","-73.86604","AEB-20-01292"
"Boost Beauty Beyond Spa, LLC","salon","Bronx","450 W 238th St","Bronx","10463","40.88728","-73.90505","AEB-22-02201"
"BORIS AND ROSHEL BARBER SHOP INC","barber","Bronx","1076 Neill Ave # A","Bronx","10461","40.85321","-73.85662","BSO-15-00269"
"boujee nails & spa inc","salon","Bronx","3021B 3rd Ave","Bronx","10455","40.81962","-73.91346","AEB-23-01918"
"BRAULIO BARBERSHOP ll CORPORATION","barber","Bronx","1304 Merriam Ave","Bronx","10452","40.84033","-73.92637","BSO-25-00166"
"BRAULIO BARBERSHOP LLC","barber","Bronx","4456 Park Ave","Bronx","10457","40.8539","-73.89556","BSO-19-00142"
"BROADWAY NAILS & BAR INC","salon","Bronx","5740 Broadway Ste K","Bronx","10463","40.88313","-73.90147","AEB-26-00511"
"BRONX CUTS BARBER SHOP CORP.","barber","Bronx","1074 Prospect Ave","Bronx","10459","40.82543","-73.89924","BSO-26-00124"
"BRONX HUSTLERS BARBERSHOP CORP.","barber","Bronx","1075 White Plains Rd","Bronx","10472","40.8283","-73.86064","BSO-23-00448"
"Bronx Loyal Mobile Barber Incorporated","barber","Bronx","3900 Greystone Ave Apt 51E","Bronx","10463","40.88889","-73.90472","BSO-25-00589"
"Bronx Nails","salon","Bronx","646 E 233rd St","Bronx","10466","40.89397","-73.85913","AEB-24-02135"
"Brother Lovez Beauty Salon, Inc.","salon","Bronx","1528 B Watson Ave","Bronx","10472","40.82609","-73.87817","AEB-25-00700"
"Brows on 149th Inc","salon","Bronx","342B E 149th St","Bronx","10451","40.81669","-73.92002","AEB-26-00381"
"BURI'S NAIL SALON INC.","salon","Bronx","583 E 187th St","Bronx","10458","40.85586","-73.88814","AEB-23-01621"
"BX BARBERSHOP CORP","barber","Bronx","786 E 152nd St","Bronx","10455","40.81558","-73.90587","BSO-20-00024"
"BY TOP SPA NAIL SALON","salon","Bronx","2835 Grand Concourse","Bronx","10468","40.87005","-73.89137","AEB-22-01357"
"By-Appt Corp.","salon","Bronx","3162 E Tremont Ave","Bronx","10461","40.83733","-73.8343","AEB-24-00951"
"C&C BEAUTY SPA BARBERSHOP AND NAILS LLC","salon","Bronx","342B E 149th St","Bronx","10451","40.81669","-73.92002","AEB-24-02780"
"C.M DELUXE BEAUTY'S CORP.","salon","Bronx","2881 Sedgwick Ave","Bronx","10468","40.87477","-73.90136","AEB-25-01909"
"camas w llc","salon","Bronx","2156 Westchester Ave","Bronx","10462","40.83414","-73.85241","AEB-19-02136"
"CANDY NAIL INC","salon","Bronx","703 E 237th St","Bronx","10466","40.89712","-73.85485","AEB-22-01296"
"CAPELLI BEAUTY CENTER CORP","salon","Bronx","1170 Shakespeare Ave","Bronx","10452","40.83598","-73.92344","AEB-21-01069"
"CAPELLI XPRESS 2 LLC","salon","Bronx","2833 Buhre Ave","Bronx","10461","40.84718","-73.83492","AEB-24-00019"
"CAPITAL NAILS INC","salon","Bronx","619 E Tremont Ave","Bronx","10457","40.84611","-73.89257","AEB-15-01735"
"CAPRICCI BEAUTY NAILS SALON CORP.","salon","Bronx","1517 Watson Ave # A","Bronx","10472","40.826","-73.8788","AEB-25-03151"
"carmen all stars beauty salon & spa","salon","Bronx","653 E 182nd St","Bronx","10457","40.85115","-73.88843","AEB-19-00769"
"CARMEN BEAUTY NAILS CORP.","salon","Bronx","5 E 171st St","Bronx","10452","40.84117","-73.91653","AEB-25-02670"
"CARMEN CRYSTALS NAILS INC.","salon","Bronx","735 Astor Ave","Bronx","10467","40.85958","-73.86601","AEB-24-02757"
"CARMEN NAILS SPA LLC","salon","Bronx","597 Southern Blvd","Bronx","10455","40.81273","-73.90203","AEB-20-01907"
"CARMEN NAILS SPA LLC","salon","Bronx","2250 White Plains Rd","Bronx","10467","40.85895","-73.86738","AEB-20-01910"
"CARMEN SALON 95 INC","salon","Bronx","95 W Fordham Rd","Bronx","10468","40.86275","-73.90444","AEB-15-01344"
"Carmen Santiago De Los Santos DBA Lety's Nail Salon","salon","Bronx","600 Morris Ave","Bronx","10451","40.81862","-73.92224","AEB-24-02179"
